Figure,Test,p_raw,n,p_bh,significant
Fig1,Visium FZ vs IZ,1e-04,19525,0.000155555555555556,Yes
Fig2,GSE57338 HF vs NF,0.52,313,0.52,No
Fig2,GSE116250 DCM vs NF,0.008,64,0.0101818181818182,Yes
Fig2,GSE55296 DCM vs ICM,0.046,37,0.0536666666666667,No
Fig2,GDS4772 DCM vs NF,0.442,17,0.476,No
Fig3,WGCNA kME,,313,,
Fig5,PROGENy OXPHOS,1.13e-13,158,3.164e-13,Yes
Fig5,PROGENy ROS,0.000606,158,0.0008484,Yes
Fig5,PROGENy Fibrosis,3.94e-06,158,6.895e-06,Yes
Supp,GSE109816 CM vs NCM,4.4e-82,9994,6.16e-81,Yes
Supp,GSE183852 DCM CM vs Donor CM,5e-25,47276,1.75e-24,Yes
Supp,GSE183852 DCM FB vs Donor FB,1.4e-53,49124,9.8e-53,Yes
Supp,GSE183852 DCM CM vs FB,1.6e-32,26866,7.46666666666667e-32,Yes
Fig4,eQTLGen rs11085898,2.6e-09,31684,6.06666666666667e-09,Yes
Fig4,GTEx rs8103021,1.89e-06,387,3.78e-06,Yes
