"Drug","Primary_Target","Mechanism","Evidence_Level","HF_Relevance","Match_Score","Category"
"Ferrostatin-1","GPX4","Ferroptosis inhibitor","Preclinical","HIGH",3,"Tier 2: Indirect support"
"Liproxstatin-1","GPX4","Ferroptosis inhibitor","Preclinical","HIGH",3,"Tier 2: Indirect support"
"Deferoxamine","Iron chelation","Iron chelator","Clinical(FDA)","HIGH",3,"Tier 2: Indirect support"
"Idebenone","ETC/CoQ","CoQ10 analog","Clinical","MEDIUM",3,"Tier 2: Indirect support"
"EPI-743","ETC/Quinone","Quinone shuttle","Clinical","MEDIUM",3,"Tier 2: Indirect support"
"MitoQ","Mitochondrial ROS","Mito-targeted antioxidant","Phase II","HIGH",3,"Tier 2: Indirect support"
"Omaveloxolone","NRF2","NRF2 activator","Phase III","HIGH",3,"Tier 2: Indirect support"
"Dimethyl fumarate","NRF2","NRF2/ARE pathway","FDA approved","MEDIUM",3,"Tier 2: Indirect support"
"Niacin","NAD+","NAD+ precursor","Clinical","MEDIUM",2,"Tier 3: Exploratory"
"Vamorcillin","Mitochondrial protein synthesis","OXPHOS maintenance","Preclinical","MEDIUM",2,"Tier 3: Exploratory"
"Benzamide riboside","NAD+","NAD+ booster","Preclinical","MEDIUM",1,"Tier 3: Exploratory"
"SS-31","Cardiolipin","Cristae stabilizer","Phase III","HIGH",1,"Tier 3: Exploratory"
"Elamipretide","Cardiolipin","Cristae stabilizer","Phase III","HIGH",1,"Tier 3: Exploratory"
"Metformin","AMPK","Metabolic modulator","FDA approved","MEDIUM",1,"Tier 3: Exploratory"
"Resveratrol","SIRT1/PGC-1α","Mito biogenesis","Clinical","MEDIUM",1,"Tier 3: Exploratory"
