File,Region,N_Spots,NDUFB7_Mean,NDUFB7_Pct_Zero,Moran_I,P_Value,Status
Visium_RZ_BZ_P12.h5ad,Unknown,3392,1.6082674981213771,23.555424528301888,0.033283469965801345,0.0003234359261536923,Success
Visium_control_P1.h5ad,Unknown,4269,1.8921366636802608,11.384399156711174,-0.009495469287692392,0.1460145965035608,Success
Visium_RZ_GT_P2.h5ad,Unknown,3538,1.1529716345319183,43.470887507066145,0.013610306457773254,0.07468554825638019,Success
Visium_RZ_BZ_P3.h5ad,Unknown,4659,1.7377300167381797,4.271302854689848,0.03270052809906911,4.575029244158202e-05,Success
Visium_control_P17.h5ad,Unknown,2043,1.9359459632283476,12.236906510034263,0.010509380646058704,0.19211324669672247,Success
Visium_FZ_GT_P4.h5ad,Unknown,4253,0.6863410187904709,72.6781095697155,0.019597644552200304,0.011848025238163307,Success
Visium_RZ_P6.h5ad,Unknown,3484,1.8045594415319688,8.12284730195178,0.012159172677437383,0.100124257667491,Success
Visium_IZ_P16.h5ad,Unknown,2713,0.7451983417999933,56.173977147069664,0.07945251328807801,1.2567724638756772e-13,Success
Visium_RZ_P11.h5ad,Unknown,2016,1.1482993089066436,44.29563492063492,0.0128428567713463,0.14725613852309993,Success
Visium_IZ_BZ_P2.h5ad,Unknown,4203,1.2886901998671387,37.7111586961694,0.04629019599296141,7.268192914189342e-08,Success
