"GSM","etiology","NDUFB7"
"GSM123518","ICM",7.405617191
"GSM123519","ICM",7.206519351
"GSM123520","ICM",7.487837439
"GSM123521","ICM",7.394971587
"GSM123522","DCM",7.424256875
"GSM123523","DCM",7.621993794
"GSM123524","DCM",7.313370304
"GSM123525","ICM",7.454622117
"GSM123526","ICM",6.868656194
"GSM123527","ICM",7.467337971
"GSM123528","DCM",7.319065378
"GSM123529","ICM",6.976159051
"GSM123530","DCM",7.671080017
"GSM123531","ICM",7.443917708
"GSM123532","ICM",6.930201363
"GSM123533","DCM",7.352020642
"GSM123534","ICM",6.196784568
"GSM123535","DCM",7.921117267
"GSM123537","DCM",7.714313168
"GSM123538","DCM",6.921763001
"GSM123539","ICM",7.498350356
"GSM123540","DCM",7.578041278
"GSM123541","DCM",6.857684629
"GSM123542","DCM",7.782551688
"GSM123543","ICM",7.634972251
"GSM123544","ICM",6.897142313
"GSM123545","ICM",7.617864112
"GSM123546","ICM",6.232048729
"GSM123547","DCM",7.596390228
"GSM123548","ICM",7.225890337
"GSM123549","ICM",7.900259837
"GSM123550","DCM",7.733193649
"GSM123552","ICM",7.887606379
"GSM123553","ICM",7.555491825
"GSM123554","DCM",7.236095474
"GSM123555","DCM",7.706809112
"GSM123556","ICM",7.553145236
"GSM123557","DCM",7.710541334
"GSM123558","ICM",7.214364282
"GSM123559","DCM",7.318311527
"GSM123560","DCM",7.257780375
"GSM123561","ICM",7.474744464
"GSM123562","ICM",7.469316666
"GSM123563","DCM",7.463639715
"GSM123564","DCM",7.693059648
"GSM123565","DCM",7.861718522
"GSM123566","DCM",7.46306599
"GSM123567","ICM",7.536162494
"GSM123568","DCM",7.423410398
"GSM123569","ICM",7.63464237
"GSM123570","ICM",7.169215269
"GSM123571","DCM",7.364775715
"GSM123572","DCM",7.375248136
"GSM123573","ICM",6.063426568
"GSM123574","ICM",7.10003171
"GSM123576","ICM",7.571672981
"GSM123577","ICM",7.20432483
"GSM123578","DCM",7.483830467
"GSM123579","ICM",7.956447868
"GSM123580","ICM",6.669927218
"GSM123581","ICM",6.739829842
"GSM123583","ICM",6.973552433
"GSM123584","ICM",6.552040956
"GSM123585","ICM",7.195952618
"GSM123586","DCM",7.26472045
"GSM123587","DCM",7.550729635
"GSM123588","DCM",7.745706604
"GSM123589","DCM",7.810373961
"GSM123590","DCM",7.445812451
"GSM123591","DCM",7.244600538
"GSM123592","DCM",8.045885514
"GSM123593","DCM",7.636876747
"GSM123594","ICM",7.399879193
"GSM123595","ICM",7.595483316
"GSM123596","ICM",7.328729296
"GSM123597","DCM",7.781835747
"GSM123598","ICM",6.97859451
"GSM123599","ICM",7.412771531
"GSM123600","ICM",7.226617441
"GSM123601","DCM",7.064346857
"GSM123602","ICM",8.066420478
"GSM123603","DCM",7.767192756
"GSM123604","ICM",7.639121265
"GSM123605","ICM",7.475023938
"GSM123606","ICM",7.621329984
"GSM123607","ICM",7.577467008
"GSM123608","ICM",7.738149894
"GSM123609","ICM",7.855644134
"GSM123610","DCM",7.104131074
"GSM123611","DCM",7.520914584
"GSM123612","DCM",7.346550005
"GSM123613","DCM",7.534403372
"GSM123614","ICM",7.207014344
"GSM123615","ICM",7.389847248
"GSM123616","DCM",7.817088771
"GSM123617","DCM",7.565610547
"GSM123618","DCM",7.197435029
"GSM123619","ICM",7.023155414
"GSM123620","DCM",7.436628211
"GSM123621","ICM",7.274926853
"GSM123622","DCM",7.199448214
"GSM123623","ICM",7.725606408
"GSM123624","ICM",7.552584612
"GSM123625","ICM",7.422350087
"GSM123626","ICM",7.124403442
"GSM123627","DCM",7.205537411
"GSM123628","DCM",7.470722615
"GSM123629","ICM",7.3972044
"GSM123630","ICM",7.584729832
"GSM123631","DCM",7.395283719
"GSM123632","ICM",6.874737456
"GSM123633","DCM",7.139756038
"GSM123634","ICM",7.697693468
"GSM123635","DCM",7.349938294
"GSM123636","DCM",7.774020857
"GSM123637","ICM",7.177227878
"GSM123638","ICM",7.471552644
"GSM123642","ICM",7.3972044
"GSM123648","ICM",7.599398604
"GSM123650","DCM",7.236334384
"GSM123651","DCM",7.609432276
"GSM123652","DCM",7.157233378
"GSM123653","DCM",7.636876747
"GSM123654","DCM",8.009180996
"GSM123655","ICM",7.735269264
"GSM123656","ICM",7.504312337
"GSM123657","DCM",7.897653191
"GSM123658","DCM",7.427259305
"GSM123659","ICM",7.380264341
"GSM123660","ICM",7.819181453
"GSM123661","DCM",7.920287298
"GSM123662","DCM",7.587718867
"GSM123663","DCM",8.012428284
"GSM123664","ICM",7.985746354
"GSM123665","ICM",7.921523799
"GSM123666","ICM",7.469582639
"GSM123667","DCM",8.041755756
"GSM123668","DCM",7.724289396
"GSM123669","ICM",8.132167949
"GSM123670","DCM",7.895022218
"GSM123671","ICM",7.22513275
"GSM123672","ICM",7.599092158
"GSM123673","ICM",7.239463189
"GSM123674","ICM",7.398506419
"GSM123675","DCM",8.163223739
"GSM123676","ICM",8.120854983
"GSM123677","DCM",8.163669626
"GSM123678","ICM",8.104951755
"GSM123679","ICM",8.070037185
"GSM123680","ICM",8.294945895
"GSM123681","DCM",8.216730689
"GSM123682","DCM",7.70226811
"GSM123683","DCM",8.043524638
"GSM123684","ICM",7.478963193
"GSM123685","ICM",7.416561473
"GSM123686","DCM",7.917181492
"GSM123687","DCM",7.186326622
"GSM123688","DCM",7.8643182
"GSM123689","DCM",7.940666477
"GSM123690","ICM",7.318057594
"GSM123691","ICM",7.810373961
"GSM123692","ICM",7.406986207
"GSM123693","DCM",7.808126203
"GSM123694","ICM",7.919501781
"GSM123695","ICM",7.817088771
"GSM123696","ICM",7.631609926
"GSM123697","ICM",7.42776673
"GSM123698","ICM",7.485293107
"GSM123699","ICM",7.419437752
"GSM123700","ICM",7.350192609
"GSM123701","ICM",7.292678354
"GSM123702","ICM",7.460567833
"GSM123703","ICM",6.526278544
"GSM123704","DCM",7.199448214
"GSM123706","ICM",7.611671626
"GSM123707","ICM",6.342494937
"GSM123708","ICM",8.267711046
"GSM123710","ICM",7.357920655
"GSM123711","DCM",7.813683126
"GSM123712","ICM",7.343661808
"GSM123713","ICM",7.026454159
"GSM123714","DCM",7.586210561
"GSM123715","ICM",7.418120772
"GSM123716","ICM",7.246052276
"GSM123717","DCM",7.301492712
"GSM123718","DCM",7.392598171
"GSM123719","DCM",5.153478125
"GSM123720","DCM",8.036132608
"GSM123721","DCM",7.956091294
"GSM123722","ICM",7.244834667
"GSM123723","ICM",7.585593349
"GSM123724","DCM",7.10212023
"GSM123725","DCM",7.418120772
"GSM123726","ICM",7.571068832
